"loc_id","latitude","longitude"
"L10164047",39.3356364,-77.1113462
"L10164261",42.615016,-71.7175989
"L10164443",41.2262922,-85.556969
"L10164487",37.3389908,-76.7760353
"L10164685",45.3903613,-75.6429345
"L10164911",28.1522706,-80.6513987
"L10165298",46.5072479,-84.2839105
"L10165304",44.866029,-92.814831
"L10165448",49.5970438,-83.7456787
"L10165901",39.4982458,-75.6376559
"L10165914",41.7581976,-72.7491313
"L10165926",44.5668323,-78.8574868
"L10165961",47.9618243,-122.0619249
"L10165985",37.3488378,-79.7864914
"L10166131",42.9817768,-87.9821889
"L10166212",38.7142467,-90.5895433
"L10166274",34.2064298,-77.8339291
"L10166278",42.3908501,-71.3470173
"L10166420",48.4117895,-122.2758301
"L10166695",37.3713406,-76.7553618
"L10167160",40.0465117,-83.0908674
"L10167199",44.4199117,-80.2353751999999
"L10167341",43.9003253,-69.982756
"L10167799",44.6016365,-80.0029866
"L10167836",44.9602637,-93.2364721
"L10168007",45.3936057,-122.6209402
"L10168018",41.0191618,-76.5000601
"L10168127",40.8589008,-76.7809215
"L10168306",39.0081048,-77.0126045
"L10169726",37.4323287,-79.2030139
"L10169830",41.4760177,-71.5337025
"L10170118",28.561731,-81.397009
"L10170306",38.934992,-104.7604118
"L10170340",47.7271824,-122.3687321
"L10170444",37.2212644,-76.4828467
"L10170466",39.1905674,-84.6337896
"L10170545",37.504432,-105.0112604
"L10170564",37.3228149,-93.578165
"L10170678",42.2708097,-71.4476773
"L10170730",38.9581164,-76.7399873
"L10170799",29.6719176,-95.4800642
"L10170813",40.0966672,-80.6618625
"L10171365",45.632034,-122.520681
"L10171466",33.8085714,-116.5150573
"L10171515",34.074506,-84.3281579
"L10171758",42.9039184,-81.3208303
"L10172360",45.204059,-79.479885
"L10172422",42.7457219,-71.0932781
"L10172499",39.7205567,-75.0862634
"L10172730",45.0876271,-79.6325789
"L10173493",41.5696859,-72.6880028
"L10173594",40.6831576,-73.9398257
"L10173792",42.8353297,-73.8706434
"L10173800",40.7675051,-74.4281673
"L10173897",37.0284198,-94.5173657
"L10173925",43.6193166,-83.9022579
"L10174151",41.12684,-75.917505
"L10174194",39.4712997,-104.9047347
"L10174362",42.6733878,-89.0286302
"L10174701",39.8689349,-75.5360175
"L10174717",41.3362993,-80.5215098
"L10175427",41.0980142,-75.1766109
"L10175498",44.6722691,-74.9761949
"L10175509",39.1713703,-108.7447129
"L10175741",30.7070516,-97.7292158
"L10175745",37.8170273,-79.8232398
"L10175862",42.3125169,-84.0198594
"L10176027",51.180016,-114.262342
"L1017607",39.5336456,-77.4349518
"L10176073",40.7285834,-74.2686192
"L10176726",43.182296,-79.4193254
"L10176843",45.4440509,-75.6561368
"L10177223",29.6285703,-95.7290268
"L10177449",36.0389666,-95.9168082
"L10177781",29.726283,-98.1842419
"L10178770",34.4062104,-118.9393616
"L10178870",35.9115105,-78.6703888
"L10179075",45.5966839,-122.5127077
"L10179482",43.1419236,-80.779177
"L1017952",44.8992087,-76.2547198
"L1017956",33.5452156,-83.9388809
"L1017957",28.0429705,-82.6226807
"L10179922",30.2876299,-97.8420862
"L10180138",42.3218405,-85.1055645
"L10180297",44.5245365,-63.770682
"L10180430",46.8572419,-92.0771803
"L1018051",44.3940697,-79.7564163
"L10180599",44.2772382,-95.0461578
"L10180649",28.6816836,-81.2389542
"L1018198",38.9521691,-105.2056226
"L10182093",39.071434,-76.993895
"L10183024",50.4426407,-104.5575096
"L10183482",30.3373776,-98.1424979
"L10183727",41.9927025,-73.1704473
"L10183774",41.7557284,-87.7675505
"L10183794",43.6598969,-79.4266087
"L10183816",42.6245849,-73.7987977
"L10183846",45.4678362,-73.6279953
"L10183854",40.8343962,-74.3016003
"L10184015",42.4783484,-71.4735693
"L10184080",49.803705,-97.1702878
"L10184113",46.2519446,-83.8858294
"L10184296",46.4761279,-62.1807504
"L10184577",50.6421946,-120.3672838
"L10184715",39.2156843,-77.6854259
"L10184870",43.2580808,-77.348814
"L10184910",42.6359381,-80.4395503
"L10184970",33.650813,-112.261105
"L10185014",36.2578743,-79.049592
"L10185070",37.7550702,-122.4504322
"L10186480",49.2524984,-81.799451
"L10186774",33.461856,-84.77865
"L10186860",40.0993741,-83.0592433
"L10186961",50.9430112,-113.9838275
"L10188245",38.1303449,-85.6486452
"L1018873",40.4197449,-75.3836775
"L10189195",43.6835602,-79.3455257
"L1018929",41.589866,-72.8690958
"L1018943",42.4986198,-71.32137
"L10189661",29.9541537,-97.9925108
"L10190849",30.7542817,-95.009099
"L1019134",40.036618,-76.4467335
"L10191499",50.4422983,-104.6285912
"L10191545",43.0863704,-77.4260144
"L10191592",48.7044872,-93.6704421
"L1019178",41.2692995,-76.9951835
"L1019250",43.8850937,-78.9425507
"L10192980",37.8176835,-79.4709992
"L10193229",42.6134325,-70.8916805
"L10193235",35.564817,-82.659874
"L10193612",30.3947577,-87.0567862
"L1019366",50.5915572,-104.2927086
"L10193871",38.3620006,-82.2587532
"L10194431",44.0032551,-79.4665432
"L10194460",46.2002395,-93.0509656
"L10194576",35.3536609,-80.1810682
"L10194670",50.6812821,-121.2723799
"L10195095",42.7850827,-88.8231701
"L10195123",41.1863984,-96.1260475
"L10195399",41.8233174,-79.9677873
"L10196675",42.1621184,-87.9537357
"L10196732",38.6066448,-90.301751
"L10196970",33.1771495,-96.5620124
"L10197041",36.1025297,-86.7874852
"L10197297",43.6410969,-80.0275174
"L1019734",44.9124294,-89.6729352
"L10197978",41.4359479,-81.8695364
"L10198033",44.3474376,-68.5551381
"L10198074",39.0692198,-76.6155703
"L10198298",40.9168259,-74.5203051
"L10198315",27.9727428,-82.7051684
"L10198433",32.3983181,-80.4391497
"L10198706",43.0905938,-87.8784653
"L10198762",39.7281197,-104.9329649
"L10198875",35.8857446,-106.2940957
"L10198960",43.127671,-76.132461
